NodeId nbSent nbReceived
0 1 0
1 70 2
2 1 2
3 5 4
4 8 7
5 62 3
6 9 8
7 14 11
8 1 2
9 39 16
10 4 5
11 5 6
12 5 6
13 15 8
14 1 2
15 6 3
17 1 2
16 5 5
19 3 3
18 5 6
21 4 3
20 1 2
23 1 2
22 1 2
25 2 3
24 1 2
27 78 36
26 1 2
29 1 2
28 1 2
31 3 4
30 2 2
34 1 2
35 3 4
32 2 3
33 1 2
38 1 2
39 18 9
36 1 2
37 1 2
42 4 4
43 1 2
40 1 2
41 3 4
46 112 58
47 1 2
44 10 11
45 25 22
51 7 8
50 11 12
49 10 10
48 1 2
55 16 8
54 102 51
53 111 30
52 3 4
59 11 11
58 2 3
57 1 2
56 309 121
63 1 2
62 12 12
61 1 2
60 12 13
68 1 2
69 6 7
70 2 2
71 1 1
64 1 2
65 4 4
66 1 2
67 1 2
76 815 309
77 4 5
78 339 216
79 119 60
72 377 40
73 127 65
74 293 163
75 232 134
85 32 28
84 48 42
87 44 42
86 125 99
81 120 80
80 271 108
83 201 163
82 212 98
93 455 293
92 69 54
95 597 169
94 8 9
89 247 148
88 284 162
91 172 95
90 366 156
102 203 102
103 1 2
100 4 5
101 86 44
98 2 3
99 22 20
96 16 17
97 44 44
110 4 5
111 175 99
108 21 19
109 339 211
106 422 279
107 234 159
104 2 3
105 2 3
119 45 46
118 102 81
117 2 3
116 229 191
115 126 121
114 285 114
113 34 31
112 54 49
127 481 173
126 31 21
125 10 8
124 3 4
123 21 20
122 95 64
121 33 27
120 14 15
137 17 18
136 1026 696
139 1 2
138 98 89
141 20 21
140 1245 350
143 138 124
142 6 4
129 3 4
128 264 109
131 108 102
130 1 2
133 151 81
132 49 36
135 14 14
134 396 259
152 1 2
153 22 21
154 45 45
155 497 342
156 64 64
157 43 39
158 2 3
159 5 6
144 146 116
145 133 109
146 239 192
147 212 124
148 2 3
149 47 47
150 8 9
151 170 87
171 149 112
170 1 2
169 34 32
168 123 110
175 496 436
174 53 52
173 106 97
172 187 169
163 2 3
162 3 4
161 3 4
160 22 20
167 2 3
166 72 68
165 166 146
164 93 91
186 229 217
187 53 49
184 277 159
185 82 81
190 1 2
191 6 7
188 468 373
189 3 4
178 32 23
179 3 4
176 5 6
177 85 73
182 4 5
183 117 114
180 158 150
181 3 4
205 127 94
204 5 6
207 59 46
206 60 53
201 1 2
200 181 78
203 52 48
202 4 3
197 91 82
196 30 23
199 2 3
198 43 36
193 94 90
192 190 160
195 1143 685
194 181 164
220 8 9
221 77 64
222 1 2
223 38 38
216 1 2
217 29 24
218 57 50
219 40 39
212 12 5
213 514 245
214 2 3
215 282 253
208 2 3
209 1 2
210 1 2
211 1 2
239 99 85
238 4 5
237 7 4
236 23 24
235 123 111
234 156 154
233 261 236
232 399 300
231 9 10
230 52 45
229 140 135
228 142 137
227 51 45
226 24 20
225 339 204
224 97 94
254 40 37
255 296 268
252 106 104
253 3 4
250 200 198
251 81 82
248 1 2
249 17 18
246 43 43
247 1 2
244 121 107
245 138 134
242 18 16
243 243 219
240 227 198
241 459 411
275 2 3
274 338 275
273 1367 589
272 6 7
279 74 57
278 1 2
277 136 103
276 9 10
283 2 3
282 9 9
281 73 74
280 94 86
287 75 62
286 711 403
285 1 2
284 135 61
258 1 2
259 2 3
256 1 2
257 6 7
262 1 2
263 135 98
260 41 38
261 149 140
266 1 2
